Preds: [12, 12, 31, 31, 2, 2, 10, 10, 2, 13, 13, 0, 0, 9, 9, 29]
Target: [12, 12, 31, 31, 2, 2, 10, 10, 8, 13, 13, 0, 0, 6, 6, 29]
Preds: [29, 3, 12, 12, 5, 5, 13, 30, 11, 11, 0, 0, 31, 31, 10, 10]
Target: [29, 3, 12, 12, 5, 5, 13, 30, 11, 11, 0, 0, 31, 31, 10, 10]
Preds: [32, 32, 7, 7, 14, 14, 4, 4, 16, 16, 4, 3, 24, 26, 29, 28]
Target: [32, 32, 1, 1, 14, 14, 7, 7, 21, 21, 4, 9, 24, 24, 29, 28]
Preds: [2, 9, 9, 11, 11, 6, 6, 30, 30, 8, 8, 7, 7, 7, 7, 4]
Target: [2, 6, 6, 11, 11, 3, 3, 30, 30, 5, 5, 1, 1, 7, 7, 4]
Preds: [25, 26, 26, 26, 26, 27, 23, 23, 23, 25, 8, 8, 17, 17, 17, 27]
Target: [25, 26, 26, 26, 26, 23, 23, 23, 23, 25, 8, 8, 17, 17, 17, 25]
Preds: [22, 18, 18, 26, 16, 15, 26, 26, 26, 18, 22, 22, 20, 20, 20, 18]
Target: [22, 18, 18, 22, 16, 15, 24, 24, 18, 18, 22, 22, 20, 20, 15, 19]
Preds: [21, 20, 20, 12, 12, 31, 31, 2, 2, 10, 10, 5, 2, 13, 13, 0]
Target: [21, 20, 20, 12, 12, 31, 31, 2, 2, 10, 10, 8, 8, 13, 13, 0]
Preds: [0, 9, 9, 29, 29, 3, 3, 12, 12, 5, 5, 13, 30, 30, 11, 11]
Target: [0, 6, 6, 29, 29, 3, 3, 12, 12, 5, 5, 13, 30, 30, 11, 11]
Preds: [0, 0, 31, 31, 10, 10, 32, 32, 7, 7, 14, 14, 4, 4, 16, 16]
Target: [0, 0, 31, 31, 10, 10, 32, 32, 1, 1, 14, 14, 7, 7, 21, 21]
Preds: [4, 4, 3, 3, 26, 29, 29, 2, 2, 9, 6, 26, 11, 11, 6, 6]
Target: [4, 4, 9, 9, 24, 29, 29, 2, 2, 6, 6, 24, 11, 11, 3, 3]
Preds: [30, 30, 8, 7, 7, 7, 7, 4, 4, 25, 25, 24, 26, 26, 27, 27]
Target: [30, 30, 5, 1, 1, 7, 7, 4, 4, 25, 25, 26, 26, 26, 27, 23]
Preds: [27, 23, 25, 8, 8, 17, 17, 17, 17, 27, 22, 23, 18, 18, 16, 26]
Target: [23, 23, 25, 8, 8, 17, 17, 17, 17, 25, 22, 23, 18, 18, 19, 22]
Preds: [16, 16, 26, 26, 18, 18, 22, 22, 20, 20, 20, 18, 21, 15, 16, 20]
Target: [16, 16, 26, 24, 18, 18, 22, 22, 20, 20, 15, 19, 19, 15, 21, 20]
Preds: [20, 12, 12, 31, 31, 2, 2, 10, 10, 5, 2, 13, 13, 0, 0, 9]
Target: [20, 12, 12, 31, 31, 2, 2, 10, 10, 8, 8, 13, 13, 0, 0, 6]
Preds: [9, 29, 29, 3, 3, 12, 12, 5, 5, 30, 30, 11, 11, 0, 0, 31]
Target: [6, 29, 29, 3, 3, 12, 12, 5, 5, 30, 30, 11, 11, 0, 0, 31]
